"","p_max_BH","p_max_FF","p_median_BH","p_median_FF"
"2_1_12_mean",0.407978723404255,0.0153191489361702,0.435531914893617,0.0290425531914894
"2_1_12_se",0.00132363022123721,0.00156241405279665,0.00362260190963164,0.00209076336349795
"2_1_12_pmin",0.4,0,0.4,0
"2_1_12_pmax",0.45,0.07,0.52,0.07
"2_1_25_mean",0.434835164835165,0.012967032967033,0.430989010989011,0.0301098901098901
"2_1_25_se",0.00469161993512829,0.00187844599409596,0.00358076173182416,0.00224557361642336
"2_1_25_pmin",0.4,0,0.4,0
"2_1_25_pmax",0.59,0.1,0.55,0.08
"2_1_38_mean",0.481648351648352,0.0101098901098901,0.443736263736264,0.0249450549450549
"2_1_38_se",0.00667264152818847,0.00189784599638518,0.00359978411931861,0.00236154388757302
"2_1_38_pmin",0.4,0,0.4,0
"2_1_38_pmax",0.6,0.1,0.54,0.09
"2_1.5_12_mean",0.407340425531915,0.00106382978723404,0.407340425531915,0.0187234042553192
"2_1.5_12_se",0.00152141377792586,0.000353693622820201,0.00152141377792586,0.00195015701667491
"2_1.5_12_pmin",0.4,0,0.4,0
"2_1.5_12_pmax",0.5,0.02,0.5,0.05
"2_1.5_25_mean",0.435714285714286,0.00043956043956044,0.421208791208791,0.0197802197802198
"2_1.5_25_se",0.0052858297845679,0.000346342759079057,0.00254788171173152,0.00218205592459757
"2_1.5_25_pmin",0.4,0,0.4,0
"2_1.5_25_pmax",0.59,0.03,0.5,0.07
"2_1.5_38_mean",0.463186813186813,0,0.431318681318681,0.0204395604395604
"2_1.5_38_se",0.00629917358162608,0,0.00275676010582077,0.00207262574590558
"2_1.5_38_pmin",0.4,0,0.4,0
"2_1.5_38_pmax",0.59,0,0.5,0.05
"5_1_12_mean",0.410412371134021,0.0171134020618557,0.423814432989691,0.0243298969072165
"5_1_12_se",0.00213342289552318,0.00231700887584098,0.0032322848506691,0.00215341182425818
"5_1_12_pmin",0.4,0,0.4,0
"5_1_12_pmax",0.51,0.1,0.5,0.09
"5_1_25_mean",0.425957446808511,0.00872340425531915,0.422978723404255,0.0219148936170213
"5_1_25_se",0.0035739696354754,0.00173932698240118,0.00271766797510748,0.00211906293497089
"5_1_25_pmin",0.4,0,0.4,0
"5_1_25_pmax",0.59,0.1,0.5,0.06
"5_1_38_mean",0.454468085106383,0.0104255319148936,0.43063829787234,0.0225531914893617
"5_1_38_se",0.00616559598181306,0.00189470534430293,0.00270068884100519,0.00193071579177411
"5_1_38_pmin",0.4,0,0.4,0
"5_1_38_pmax",0.6,0.1,0.5,0.07
"5_1.5_12_mean",0.415154639175258,0.0011340206185567,0.408247422680412,0.015979381443299
"5_1.5_12_se",0.00357213767512634,0.000384300158871908,0.00170285229990479,0.00196435041363827
"5_1.5_12_pmin",0.4,0,0.4,0
"5_1.5_12_pmax",0.6,0.02,0.49,0.05
"5_1.5_25_mean",0.42063829787234,0.000531914893617021,0.413617021276596,0.0174468085106383
"5_1.5_25_se",0.00365777038099817,0.000277544437139269,0.00191832225650275,0.00213872665069781
"5_1.5_25_pmin",0.4,0,0.4,0
"5_1.5_25_pmax",0.58,0.02,0.5,0.06
"5_1.5_38_mean",0.438829787234043,0.000212765957446809,0.424042553191489,0.0177659574468085
"5_1.5_38_se",0.00479708688907538,0.000212765957446809,0.00243571735492556,0.00211840241946118
"5_1.5_38_pmin",0.4,0,0.4,0
"5_1.5_38_pmax",0.59,0.02,0.5,0.05
