"","x"
"1",0.815408656344766
"2",0.484473259231906
"3",0.3092233702187
"4",0.341003706489328
"5",0.391540390108239
"6",0.201689595028108
"7",0.835833523229643
"8",0.226308754771287
"9",0.523559688556232
"10",0.424175623337537
"11",0.239607002763167
"12",0.204928479874281
"13",0.72271203523433
"14",0.757527328970151
"15",0.839694530536854
"16",0.160566179230351
"17",0.523375388521609
"18",0.560142882299033
"19",0.361415481084268
"20",0.324699761564679
"21",0.464576695025505
"22",0.573733830822445
"23",0.37664934986971
"24",0.338982307463486
"25",0.819204616344217
"26",0.297108234561397
"27",0.607102834310882
"28",0.410566399879204
"29",0.317455678236928
"30",0.282281647972437
"31",0.653806837974304
"32",0.299282030077007
"33",0.220543515273618
"34",0.680234085776133
"35",0.160855508452912
"36",0.559568356986476
"37",0.738457154102526
"38",0.296360399209634
"39",0.364215770992675
"40",0.557654585580935
"41",0.296599559008391
"42",0.63236585555201
"43",0.568887195015823
"44",0.279934309649713
"45",0.178859259507716
"46",0.737637199886651
"47",0.214856935425569
"48",0.701550309749584
"49",0.539697099603368
"50",0.420539111755144
