"","location","estimate","lower","upper","Method"
"1",1,0.76,0.76,0.76,"True"
"2",1,0.76,0.685420063788642,0.765444521461862,"FFChange"
"3",1,0.758906545650129,0.753874627020009,0.763438179258964,"ST_Model"
"4",3,0.48,0.48,0.48,"True"
"5",3,0.48,0.451976636282984,0.513483315331311,"FFChange"
"6",3,0.479367358572115,0.472595265060339,0.485034939369404,"ST_Model"
"7",4,0.34,0.34,0.34,"True"
"8",4,0.34,0.326684162476189,0.398815331732202,"FFChange"
"9",4,0.341842166107097,0.336427958196114,0.348088491152735,"ST_Model"
"10",5,0.54,0.54,0.54,"True"
"11",5,0.54,0.516986517888183,0.55610900287082,"FFChange"
"12",5,0.54386134437285,0.534583966193739,0.552544165199225,"ST_Model"
"13",6,0.2,0.2,0.2,"True"
"14",6,0.2,0.190014249848133,0.439166347979209,"FFChange"
"15",6,0.196619741353845,0.185283181699957,0.205430293590704,"ST_Model"
"16",7,0.6,0.6,0.6,"True"
"17",7,0.6,0.578965296221875,0.608517579484408,"FFChange"
"18",7,0.599287798081721,0.592048513986224,0.607014038446975,"ST_Model"
"19",8,0.42,0.42,0.42,"True"
"20",8,0.42,0.407977106412123,0.444674729226503,"FFChange"
"21",8,0.42136465589718,0.418154271841759,0.424342497654776,"ST_Model"
"22",9,0.32,0.32,0.32,"True"
"23",9,0.36,0.346718018948797,0.408072192215131,"FFChange"
"24",9,0.325460963538865,0.312402772474054,0.337067195826867,"ST_Model"
"25",10,0.32,0.32,0.32,"True"
"26",10,0.32,0.312540301241796,0.360488340124273,"FFChange"
"27",10,0.321153441690363,0.315519161631374,0.327853393962166,"ST_Model"
"28",11,0.76,0.76,0.76,"True"
"29",11,0.72,0.617625211539253,0.732163974501816,"FFChange"
"30",11,0.752403397884728,0.744100164519861,0.760746745739778,"ST_Model"
"31",12,0.34,0.34,0.34,"True"
"32",12,0.34,0.321504907328486,0.421691820656999,"FFChange"
"33",12,0.338385324139793,0.334384569305162,0.341773828532818,"ST_Model"
"34",14,0.84,0.84,0.84,"True"
"35",14,0.84,0.717816690422188,0.842609943502056,"FFChange"
"36",14,0.849414352428257,0.838715691414929,0.857676888378167,"ST_Model"
"37",15,0.68,0.68,0.68,"True"
"38",15,0.68,0.608724579158087,0.693132007059635,"FFChange"
"39",15,0.682522074016727,0.67559703389079,0.688653952903139,"ST_Model"
"40",16,0.78,0.78,0.78,"True"
"41",16,0.78,0.669902073172948,0.786145005605825,"FFChange"
"42",16,0.782450572361132,0.772281008836059,0.79077527196165,"ST_Model"
"43",17,0.58,0.58,0.58,"True"
"44",17,0.64,0.559418392585902,0.662264085190037,"FFChange"
"45",17,0.560538754567127,0.545634490472174,0.574850509248333,"ST_Model"
"46",18,0.42,0.42,0.42,"True"
"47",18,0.4,0.38513939039324,0.436699219727009,"FFChange"
"48",18,0.408900949059525,0.39587150982221,0.417445370330822,"ST_Model"
"49",19,0.42,0.42,0.42,"True"
"50",19,0.42,0.393877813256197,0.473610878279534,"FFChange"
"51",19,0.417325461402111,0.407742791686055,0.425480447659181,"ST_Model"
"52",20,0.2,0.2,0.2,"True"
"53",20,0.32,0.290318873973588,0.481097594525139,"FFChange"
"54",20,0.205358529883918,0.196496158608873,0.21427005173268,"ST_Model"
"55",21,0.58,0.58,0.58,"True"
"56",21,0.56,0.517146677724342,0.585053275580209,"FFChange"
"57",21,0.56085909372464,0.556457203410647,0.565135716092967,"ST_Model"
"58",22,0.52,0.52,0.52,"True"
"59",22,0.48,0.444470853165781,0.522451492936954,"FFChange"
"60",22,0.52167466906191,0.513887234858334,0.529971399730574,"ST_Model"
"61",23,0.4,0.4,0.4,"True"
"62",23,0.4,0.386969112508288,0.432180604695969,"FFChange"
"63",23,0.396175344600173,0.387634619762733,0.403130666580558,"ST_Model"
"64",24,0.7,0.7,0.7,"True"
"65",24,0.64,0.577522661321347,0.657262013447314,"FFChange"
"66",24,0.688502960749855,0.67150463481662,0.701262576714319,"ST_Model"
"67",26,0.72,0.72,0.72,"True"
"68",26,0.72,0.655902654591243,0.72761592269844,"FFChange"
"69",26,0.724990865727625,0.714368568103789,0.73502417782957,"ST_Model"
"70",28,0.68,0.68,0.68,"True"
"71",28,0.68,0.629372156531449,0.689327832652405,"FFChange"
"72",28,0.686295904263182,0.677428661663754,0.69430282875101,"ST_Model"
"73",29,0.52,0.52,0.52,"True"
"74",29,0.52,0.497026307644968,0.539227490779142,"FFChange"
"75",29,0.523688418799181,0.514807984566046,0.533331921455155,"ST_Model"
"76",30,0.2,0.2,0.2,"True"
"77",30,0.2,0.186758632052908,0.517140882356527,"FFChange"
"78",30,0.198716926243689,0.193197655625906,0.205167606161679,"ST_Model"
"79",31,0.76,0.76,0.76,"True"
"80",31,0.76,0.60026948005879,0.771660726572221,"FFChange"
"81",31,0.759319988007131,0.748242250746649,0.764498021519398,"ST_Model"
"82",32,0.3,0.3,0.3,"True"
"83",32,0.3,0.286589548802147,0.390186713366473,"FFChange"
"84",32,0.296954015231063,0.289570829687725,0.303215695646631,"ST_Model"
"85",34,0.72,0.72,0.72,"True"
"86",34,0.72,0.672984772934912,0.725586258412012,"FFChange"
"87",34,0.720164127523716,0.714482121291985,0.725628221581446,"ST_Model"
"88",35,0.48,0.48,0.48,"True"
"89",35,0.48,0.452513017298783,0.512842428146208,"FFChange"
"90",35,0.477369193859651,0.46710934704787,0.484327135753977,"ST_Model"
"91",36,0.52,0.52,0.52,"True"
"92",36,0.52,0.505147743150309,0.532430375893161,"FFChange"
