"","location","estimate","lower","upper","Method"
"1",1,0.82,0.82,0.82,"True"
"2",1,0.82,0.554365701077198,0.828072970297361,"FFChange"
"3",1,0.846767570426781,0.819923644676251,0.874638859752074,"ST_Model"
"4",4,0.34,0.34,0.34,"True"
"5",4,0.34,0.330170374164829,0.383416923889706,"FFChange"
"6",4,0.362126294540492,0.330682213704301,0.418079008455166,"ST_Model"
"7",5,0.4,0.4,0.4,"True"
"8",5,0.38,0.334286966956425,0.51634999253773,"FFChange"
"9",5,0.271717457611757,0.219459628433247,0.301644013412769,"ST_Model"
"10",6,0.2,0.2,0.2,"True"
"11",6,0.2,0.193754998696461,0.349572554107382,"FFChange"
"12",6,0.199430669076055,0.191360190505181,0.207041608094944,"ST_Model"
"13",9,0.52,0.52,0.52,"True"
"14",9,0.52,0.491755100769712,0.543639149123942,"FFChange"
"15",9,0.528603376872568,0.511073587519284,0.545841873306937,"ST_Model"
"16",10,0.42,0.42,0.42,"True"
"17",10,0.42,0.404459147453666,0.451894678741602,"FFChange"
"18",10,0.439689386005547,0.41032570963486,0.465071681130021,"ST_Model"
"19",11,0.24,0.24,0.24,"True"
"20",11,0.34,0.319251191039179,0.431646363204462,"FFChange"
"21",11,0.233156320975915,0.209904214332829,0.25636578326264,"ST_Model"
"22",12,0.2,0.2,0.2,"True"
"23",12,0.24,0.227421276349189,0.412305392506784,"FFChange"
"24",12,0.193433839564301,0.174037636108747,0.209104976222461,"ST_Model"
"25",13,0.72,0.72,0.72,"True"
"26",13,0.72,0.559799593042706,0.739034702730119,"FFChange"
"27",13,0.741640979996691,0.717064451695945,0.765184804217816,"ST_Model"
"28",14,0.78,0.78,0.78,"True"
"29",14,0.74,0.652328522532192,0.748224622325467,"FFChange"
"30",14,0.746510130350484,0.719355016958943,0.773435719481752,"ST_Model"
"31",15,0.84,0.84,0.84,"True"
"32",15,0.84,0.63614268382327,0.844354572482449,"FFChange"
"33",15,0.843368931906362,0.834061076821214,0.855020849682991,"ST_Model"
"34",16,0.16,0.16,0.16,"True"
"35",16,0.3,0.245688362121563,0.665251552355722,"FFChange"
"36",16,0.160587112199923,0.141115554688716,0.18123484626988,"ST_Model"
"37",17,0.52,0.52,0.52,"True"
"38",17,0.52,0.472149618123387,0.56004766678742,"FFChange"
"39",17,0.512126166901901,0.47319522571987,0.532985581363624,"ST_Model"
"40",18,0.56,0.56,0.56,"True"
"41",18,0.56,0.542770805542776,0.570072678939225,"FFChange"
"42",18,0.560360170548763,0.550907013533238,0.573420464264975,"ST_Model"
"43",19,0.36,0.36,0.36,"True"
"44",19,0.36,0.349842684437018,0.396762921453589,"FFChange"
"45",19,0.367936911814366,0.340279251364998,0.3993750780159,"ST_Model"
"46",20,0.32,0.32,0.32,"True"
"47",20,0.32,0.300639006795801,0.425083932127054,"FFChange"
"48",20,0.32280008250965,0.306545594329064,0.344382396274944,"ST_Model"
"49",21,0.46,0.46,0.46,"True"
"50",21,0.46,0.442915118356035,0.484407632256874,"FFChange"
"51",21,0.460283541896681,0.433584304453302,0.496708732068773,"ST_Model"
"52",22,0.56,0.56,0.56,"True"
"53",22,0.56,0.531345764324432,0.576752084197869,"FFChange"
"54",22,0.573707415028214,0.552717547670523,0.592839607996933,"ST_Model"
"55",23,0.38,0.38,0.38,"True"
"56",23,0.38,0.366970171365104,0.41886456266077,"FFChange"
"57",23,0.373753517801661,0.344772202928369,0.391563957246095,"ST_Model"
"58",24,0.34,0.34,0.34,"True"
"59",24,0.34,0.320578726999958,0.425782708907084,"FFChange"
"60",24,0.32918928540158,0.2904921693342,0.349878380215108,"ST_Model"
"61",25,0.82,0.82,0.82,"True"
"62",25,0.76,0.589012099246446,0.772482543464951,"FFChange"
"63",25,0.821927596407426,0.811849481691689,0.831047871809385,"ST_Model"
"64",26,0.3,0.3,0.3,"True"
"65",26,0.3,0.294099145548055,0.339683875003403,"FFChange"
"66",26,0.297443612037076,0.283203440333568,0.309542105273037,"ST_Model"
"67",27,0.6,0.6,0.6,"True"
"68",27,0.6,0.552896663466902,0.619073547083593,"FFChange"
"69",27,0.687813040995878,0.660640379521818,0.716035175080139,"ST_Model"
"70",28,0.42,0.42,0.42,"True"
"71",28,0.42,0.394917423608194,0.471477273440642,"FFChange"
"72",28,0.393384338131837,0.362614377046594,0.426320078231228,"ST_Model"
"73",29,0.32,0.32,0.32,"True"
"74",29,0.32,0.309481322892815,0.377091283465668,"FFChange"
"75",29,0.319101448368745,0.305041262062434,0.334330590898601,"ST_Model"
"76",30,0.28,0.28,0.28,"True"
"77",30,0.32,0.311627001998886,0.365445372784811,"FFChange"
"78",30,0.280294734885619,0.26654131828297,0.290723348523555,"ST_Model"
"79",31,0.64,0.64,0.64,"True"
"80",31,0.64,0.55137695022566,0.664485874547491,"FFChange"
"81",31,0.652020671665563,0.634110147495614,0.673128834323913,"ST_Model"
"82",32,0.3,0.3,0.3,"True"
"83",32,0.3,0.288268538883628,0.378895326149918,"FFChange"
"84",32,0.293866569459053,0.267691559962499,0.319863610483111,"ST_Model"
"85",33,0.22,0.22,0.22,"True"
"86",33,0.22,0.209769114066889,0.403303222664569,"FFChange"
"87",33,0.173102310637598,0.135164447229358,0.194706230138059,"ST_Model"
"88",34,0.68,0.68,0.68,"True"
"89",34,0.68,0.614716778577196,0.692027985446785,"FFChange"
"90",34,0.687498579265674,0.668711727908251,0.707891960846756,"ST_Model"
"91",35,0.16,0.16,0.16,"True"
"92",35,0.32,0.28240072278362,0.524074235932039,"FFChange"
"93",35,0.159699971141289,0.149797129430565,0.170124321434284,"ST_Model"
"94",36,0.58,0.58,0.58,"True"
"95",36,0.56,0.487448244922257,0.60241582722801,"FFChange"
"96",36,0.655069955214573,0.621335457031909,0.71354625640652,"ST_Model"
"97",37,0.74,0.74,0.74,"True"
"98",37,0.74,0.690217645214059,0.74467017413659,"FFChange"
"99",37,0.737518898154569,0.722371530167641,0.752368157859271,"ST_Model"
"100",39,0.36,0.36,0.36,"True"
"101",39,0.36,0.35604401826619,0.374318098600965,"FFChange"
"102",39,0.361029103912375,0.350962801057805,0.371934795302001,"ST_Model"
"103",40,0.58,0.58,0.58,"True"
"104",40,0.56,0.540987641509474,0.571115167538911,"FFChange"
"105",40,0.558867520595671,0.539831197257876,0.579929165821296,"ST_Model"
"106",41,0.3,0.3,0.3,"True"
"107",41,0.3,0.29031134954156,0.365157206786838,"FFChange"
"108",41,0.26033132489757,0.219064151298938,0.30460595077172,"ST_Model"
"109",42,0.64,0.64,0.64,"True"
"110",42,0.64,0.58996619724434,0.653823959122695,"FFChange"
"111",42,0.683117448231763,0.656396723368654,0.703712783515933,"ST_Model"
"112",43,0.58,0.58,0.58,"True"
"113",43,0.56,0.542608505078691,0.570167564423887,"FFChange"
"114",43,0.568667587178335,0.554110305030617,0.585891286939413,"ST_Model"
"115",44,0.28,0.28,0.28,"True"
"116",44,0.28,0.272159415354117,0.345988151686032,"FFChange"
"117",44,0.279035290481381,0.267265873086872,0.295146545631469,"ST_Model"
