"","x"
"1",1.87369881650247
"2",0.069713926801647
"3",0.12756122803765
"4",4.17198460731193
"5",1.16463703137956
"6",3.66764364728515
"7",0.0879807689711754
"8",0.0622089932537644
"9",4.46847641063615
"10",4.31056984260244
"11",4.86112039193304
"12",5.43604004253866
"13",2.13448996701367
"14",2.48323589602827
"15",5.02099436123617
"16",3.40941475464742
"17",2.59103877911464
"18",3.8457924768425
"19",2.5375561203442
"20",3.09048540387773
"21",4.65061007240492
"22",3.98285388437008
"23",4.92664779116248
"24",2.89263801604475
"25",3.58991127330961
"26",5.38365010225897
"27",4.94122814756126
"28",3.69779095315218
"29",3.47429684049185
"30",7.05245802767881
"31",3.03826081101934
"32",3.09300793797051
"33",2.8949469906005
"34",4.29320810581281
"35",4.43781772831392
"36",2.68556535601319
"37",6.16419309301276
"38",0.0625191762320307
"39",4.34932859026996
"40",6.32476025725618
"41",4.20447221416662
"42",3.7565159906841
"43",4.48697023649405
"44",4.93280907764344
"45",4.28362642647576
"46",3.0468724531779
"47",2.45204037499232
"48",4.24188636550567
"49",2.42396548968676
"50",3.69057133207464
